Q08162	Q08285
P13663	P25623
P39001	P41913
P20967	P43597
P05373	Q02821
P05317	P05318
P15731	P22137
P04173	Q04437
P32583	P53335
P15992	P40856
P11484	P38873
P38203	P48240
P40368	P52918
P40106	Q04964
P19882	P46963
P32473	Q06137
P43598	Q06625
P32913	Q92331
P32570	P38782
P32479	P32591
Q02574	Q12495
P34241	P38789
P17106	P22216
P14306	Q02199
P06839	P28241
P20449	Q04839
P25617	Q02574
P00950	Q03957
P25632	P43609
P20604	P38695
P19659	Q12343
P04911	P40340
P04819	P15873
Q02969	Q06449
P42945	Q12176
P00546	P48562
P47003	Q12017
P25491	Q12749
P38737	Q12377
P38820	Q08686
P40070	Q01722
P53251	Q07381
P18888	P23639
P00546	P13382
P05694	Q02821
P33750	P47079
P38111	P46655
P01120	P18963
P32502	Q04093
P06787	P32492
P15938	P36083
P52891	Q08110
P19882	P39925
Q12324	Saccharomyces cerevisiae
P32318	P35192
P22276	P32910
P32561	P47103
P47912	Q08273
P04786	Q02208
P15303	Q01590
P13382	Q03406
P21243	P30657
P22203	P37296
P14540	P33322
P38692	Q02732
P22141	Q01939
P21243	P23595
P38282	P40567
P25652	P36068
P36160	Q08387
P31412	Q12349
P29295	P38089
P19882	P38153
P07249	P32569
P25491	Q04437
P20486	P24870
P33418	P46672
P38779	Q05022
P06243	Q12464
P13382	P32558
Q99190	Q99380
P22216	P34730
P53261	Q05022
P22133	Q12250
P36070	P54839
P28000	P32529
P02293	P06701
P43633	P53756
P08458	P15992
P10081	Q00764
P04840	P53083
P09938	P20604
P04911	Q12161
P21304	P60010
P33334	P53212
P53207	Q02260
P39954	Q04660
P35191	Q05583
P00546	P24279
P16661	P38993
P24719	P32863
P38164	P53950
P20676	P54861
P00546	P39083
P32367	Q06339
Q06142	Q06178
P37291	Q07350
P33767	P46956
P09798	P50082
P25639	P38301
P40079	Q08096
P33401	Q12223
P38822	Q12328
P20107	P25639
P43585	Q07788
P16892	P38590
P20795	Q03308
P35194	Q12176
Q02908	Q04868
P39998	P40064
P19955	P35193
P17076	P47135
P25045	P49018
P06775	P38729
P25569	Q03010
P06782	P32578
P32479	P32480
P07272	P32796
P38998	P39981
P40071	P40475
P32601	Q02892
P10659	Q12379
P14832	P22943
P33328	Q08144
Q02574	Q12057
Q03433	Q12509
P37267	Q06598
P38075	Q02821
P05085	P14681
P38251	Q03231
Q05934	Q12205
P05453	Q03735
P06782	P09733
P46367	Q05583
P38927	P43321
P53914	Q04149
P07342	P39108
P36047	Q03940
P32494	P35177
P32367	P53125
P23254	P33315
P00546	P47104
P22139	P41896
P08018	P32590
P14907	P51998
P04806	P33296
P53823	P53824
P00546	P19882
P06775	Q05867
P25558	P38883
P40005	P52553
P25586	Q06506
P23292	P39010
P38139	Q02890
P38879	P47135
P13663	P32457
P22214	P43621
P12398	P18851
P53842	Q08270
P07560	P53108
P25635	P36144
P01123	P38130
P28007	P39936
P08417	Q12749
P38298	P53045
P04173	P53233
P25358	P38356
P04173	P33322
P38821	P49089
P48581	Q08949
P43603	P53142
P40319	Q07824
P14681	P33306
P10659	Q12749
P33419	Q07622
P46948	P48240
P25301	Q08224
P32597	P48743
P49955	Q12330
P16522	Q12379
P25694	P41808
P33333	P43535
P40889	Q12349
P11938	Q12136
P12398	Q00362
P53050	Q06204
P14742	Q99186
P20676	P30402
P32366	P40167
P22202	P39076
Q06410	Q06628
P12709	P39014
P53050	Q02821
P39984	Q12341
P07262	P19735
P39927	Q12102
P37838	Q12176
Q00684	Q12398
P08458	P15703
P07256	P41811
P38264	Q04651
P25491	Q08273
P07866	Q01919
P40513	P41800
P36131	Q12248
P12709	P14681
P32581	P47135
P23287	P38870
Q04947	Q12066
P32582	Q12380
P38793	P60010
P10659	Q04437
P38716	Q02821
P12688	P40485
P36066	P53550
P07283	P18851
P25358	P40890
P14291	P32598
P19736	Q03388
P21243	Q12245
P32790	P53901
P32864	P36019
P32802	Q12349
P05626	P32807
P39996	Q06616
Q02821	Q08920
P23594	Q05934
P39007	P46964
P32491	P47122
P20438	Q03497
P53549	Q12250
P06843	P39955
P04385	P18851
P38857	P53311
P04821	P38272
P54860	P61864
P25358	Q07376
Q05636	Q08285
P25567	Q07623
P27999	P38326
P23291	P53886
P32605	Q00539
P25385	P40509
P21771	P38968
P46956	Q04437
P09547	P36084
P09733	P31384
P39704	Q05359
P11986	P18851
P03069	P32494
P41318	Q04749
P07274	P17555
P25847	Q00578
P07260	P33308
P06780	P39000
Q08271	Q12450
P38264	P40975
P32468	P38784
P16140	P32345
P00360	P18851
P04051	Q04307
P32803	P36057
Q05874	Q12026
P15108	P19735
P00546	Q06616
Q03433	Q12692
P05736	Q03862
P04911	Q06707
P40991	Q06205
P47026	P52870
P14681	P16862
P11986	Q00362
P35728	P39936
P19882	Q12380
P32776	Q02574
P00830	Q12446
P39567	P53632
P53272	Q12349
P14742	P25453
P25554	Q03330
P03965	P08521
P53629	Q08905
P38779	Q08387
P32386	P40073
P36224	Q02630
P25293	Q99299
P32324	P39705
P08431	Q04437
P32790	P40325
P32802	P40975
P40211	Q12349
P26309	P40958
P05317	P25491
P40054	Q04406
P25343	P40069
P29469	P38826
P09733	P16861
P02293	Q05471
P32805	P50113
P47135	Q99299
P16861	Q04675
Q00764	Q03785
P00560	P53622
Q02629	Q12315
P29055	P40217
P32590	P53917
P40554	Q12460
Q03330	Q12030
P00950	P53629
P40204	Q12417
P32807	Q07418
P32366	Q12507
P36167	Q02574
P16862	P25491
P23641	P39928
P43621	P53600
P07260	Q12100
P18496	Q03263
P07251	P29295
P04050	P36100
P38629	Q05016
P21672	P60010
P35169	Q08921
P47068	Q08273
P29311	Q12152
P38334	Q03337
P36520	P38064
P43588	Q04062
P00924	P32599
Q07896	Q12522
P25347	P40364
P14742	Q00776
P32492	P38615
P32893	Q04183
O94085	P25627
P32366	P53967
P40352	P41277
P25376	P35723
P09733	P28000
P31380	Q08217
P27999	P43563
P45819	Q12175
P17967	P22133
P32432	P53687
Q04660	Q12522
P35206	P39704
P47075	Q04697
P40048	Q05022
P40164	Q06407
P43554	Q06349
P29055	P40359
P38333	Q12754
P38842	P46956
P36104	P38827
P05453	P32790
P38853	Q02794
Q04660	Q12176
Q04437	Q05016
P38190	P39924
Q12152	Q12464
P31379	P35206
P07251	P38217
P47068	P53044
P04385	P38129
P05150	P38257
P07149	P12753
P05754	P40160
P00331	P19073
P30822	Q06673
Q04231	Q12310
P32911	Q05775
P15873	P40348
P19882	Q12477
P53905	P57743
P07284	P39743
P00812	P38822
P17709	P40339
P22215	P38993
P29311	P32863
P38987	P47079
P46367	Q07350
P32332	P38217
P38253	P40095
P28495	P38822
P38700	Q12028
Q06162	Q06208
P53337	Q08980
P52286	Q03919
P36104	Q08553
P25626	P36520
P00546	P50090
P09733	P32491
P25358	P53048
P53861	Q04373
P12398	Q12495
P38764	P39729
P43622	Q06675
P40348	P51862
P38822	P47977
Q00955	Q06708
P0C0X0	P38254
P39938	Q02574
P28274	P39743
P25655	P34909
Q04693	Q12309
P40482	Q01590
P38779	Q12499
P29952	P39743
P09032	P12754
P33734	Q12272
P17157	P25333
P60010	Q12280
P04802	P38217
P32561	P53691
P47017	Q04792
P30822	Q12248
P40582	P54074
P38121	P38251
P38992	Q02795
Q07732	Q99332
P32800	Q07418
P36047	P38873
P07347	P08964
P25293	Q12263
P38296	P38829
P07283	P12954
P20486	Q03612
P16862	Q04437
P80428	Q12692
P46948	P53859
P38264	P53918
P40584	P46944
P32803	P53337
P38842	P53386
P40562	Q12749
P40469	P47079
P40513	Q12161
P14540	Q04660
P38806	P43572
P14681	Q12377
Q04491	Q12055
P38795	P40497
P40164	Q06108
P27344	Q03532
P25376	P43561
P40971	Q06178
P00546	Q12495
P04397	P18851
P43549	P46961
P19812	P33299
P15992	P39014
P50086	P53196
P07251	P32381
P34730	P39104
P38316	Q12464
P32628	Q02939
P19882	P53861
P08456	P38992
P41811	P53286
Q03433	Q06410
P87271	Q06247
P38811	Q12692
P04806	P38272
P29465	P47154
P06774	Q12522
P06168	P06701
P07149	P19097
P38769	Q07807
P07284	P38197
P39567	Q12749
P04147	P25299
P16861	P50102
P20486	Q03964
P38843	P46956
P37267	P49018
Q06108	Q12030
P32569	P34078
P16474	P25303
P16370	P20434
P35728	P42841
P38262	P50091
P09032	P32481
P04051	P11633
P53201	Q05471
P38690	P53323
P25644	P47017
P40160	P53235
P05453	Q08749
P40543	P53934
P12695	P22204
P19882	Q12531
P25453	P53979
P35189	P41895
P04819	P19262
P33298	Q04062
P14741	P32481
P53877	Q12464
Q03103	Q12099
P32366	P49435
P10363	P13382
P38086	Q02793
P17123	Q06525
P25558	P38064
P22147	Q04149
P33298	P38217
P09733	P42935
P24482	Q04603
P39954	P43565
P34087	P40361
P47135	P53154
P02557	P31378
P38262	Q03795
P29469	P54784
P25358	P38843
P25639	P38814
P39721	Q12100
P22216	P40164
P40576	P48360
P32909	Q12186
P16467	Q08913
P32495	P53919
P39743	P40469
P25644	P30822
P36000	Q12028
P22133	P38708
Q02794	Q04231
P40085	Q07376
P38822	P39940
P53845	Q12349
P02829	Q12449
P12695	P51402
P25298	P25299
P25651	P32908
P00830	P15891
P35201	Q06675
P25301	P38953
P04840	Q05946
P12695	P24814
P53142	Q03790
P36084	Q06488
P35729	P49687
P02994	P25453
P17709	P38987
P33420	P38822
P49018	P53386
P25344	P48232
P22214	P41811
P16140	P38319
P32793	Q12168
P38910	Q02630
P29311	P38719
P40892	Q03900
P13186	P16862
P40475	Q12164
P15180	P25694
P32569	P53834
P40055	Q08965
P46965	Q08227
P08518	P22696
P16862	Q08273
P46943	Q12091
Q03010	Q07458
P00546	Q12057
P40054	Q08911
P46367	P53599
P32468	Q12263
P38874	Q02908
P38339	Q00246
P20448	Q03532
P17106	P35203
P47047	P50101
P32334	P39547
P00830	P06787
P15442	P20053
P38286	Q07904
P00817	Q12194
P14741	P46367
P33299	P53549
P38353	P47154
P21965	P40485
P34246	Q12522
P39729	P60010
P38810	Q01590
P29704	Q03790
P17157	P35497
P06779	P28519
P07703	P25694
P32485	P38622
P26188	P47079
P32381	Q02821
P32494	Q05027
P39011	Q06648
P22138	Q12522
P40010	Q07381
P15992	P21304
P53861	Q12024
P38875	P40501
P13393	P53040
P42937	P53290
P28320	Q08224
P02829	P12351
P04821	P10591
P38886	P53549
P39547	Q01163
P00830	P39984
P04451	Q12496
P25491	P26309
P10363	P21951
P12398	P32582
Q02774	Q12445
P32602	Q08202
P03069	P34162
P47135	Q12287
P11972	P40073
P14741	P39692
P38264	Q08980
P04786	Q6B184
P32337	Q03790
P39940	P40325
Q04951	Q07541
P11709	P14904
P40319	P43542
Q02821	Q06178
P50101	Q06108
P24719	Q12329
P25303	P38288
P32565	P53196
P36117	Q08110
P38085	Q08245
P38737	P53914
P29055	P53038
P40548	Q08986
P14741	P28239
P12709	P32464
P40319	P41815
P00830	P06243
P22224	P29366
P39965	Q12069
P14540	P39076
P38125	P40971
P40055	Q12220
P14907	P34077
P38217	P48837
Q04693	Q12330
P32802	Q08980
P19358	P26755
P07991	P22696
P09959	P20438
P13517	P25562
P26188	P33750
P25364	P37265
P20438	P38077
P22147	P27705
P07703	P37291
P38089	Q12263
P06701	Q05016
P40073	P50944
P40018	Q02554
P32468	P40460
P41815	Q02774
P10834	Q02630
P40054	Q12116
P00358	P14741
P39076	P53197
P16467	P23291
P18239	P41800
Q08227	Q12443
P32381	Q08723
P38712	Q06346
P32854	Q12154
P10081	P38719
P32604	P38227
P46682	Q08951
Q03629	Q12349
P32366	Q01802
P16370	P20436
Q03954	Q12248
P11746	Q12324
P39682	Q00916
P00937	P25453
P29055	Q12067
P25358	Q06451
P19073	P39011
P38616	Q12116
P06700	Q06208
P40450	Q04439
P00924	P53011
P30605	Q07824
P10591	P22138
P25367	P50942
P38286	P38358
P22579	P40466
P09624	P21375
P22141	P40303
P53142	P53950
P40069	Q00684
P35727	P48837
Q03231	Q06096
P32485	P40048
P22579	Q99189
P38203	Q12288
Q12066	Q12402
P40009	Q99385
P00724	Q12154
P09232	P18961
P32524	Q12411
P12398	P25342
P38236	P40460
P16474	P40339
P13393	P53067
P53045	P53337
P41277	Q12349
P48234	Q07623
Q01649	Q03690
P33767	Q07824
P34160	P43321
P32583	P37263
P32337	P38910
P29295	Q03612
P19882	Q12347
P12385	P38111
P38156	P53983
P25293	Q06142
P32602	P40357
P11075	P32074
P18851	P47079
P19882	Q03020
P38333	Q02354
P38129	Q12297
P25379	P32491
P31539	P33322
P08524	Q12380
P09547	P32591
P08525	P38238
P38842	Q08271
P38247	P53290
P25635	Q02931
P04173	P39076
P40030	Q02804
P38883	P53877
P16140	Q04477
P02994	P32598
P25694	Q04675
P17214	P39734
P25567	Q03957
P10659	P39743
P38042	Q12440
P31412	Q04675
P16474	P32502
P16151	P38988
P17709	Q12223
P06787	P16140
P38629	P46367
P47135	Q06651
P40054	Q12522
P39567	Q07623
P22579	Q02821
P00546	P38261
P32333	P38144
P32802	Q05521
P40003	P53263
P38837	Q02795
P20053	P53309
Q02795	Q03263
P11076	P53278
P02557	P42843
P47079	Q08217
P32838	Q12199
Q00772	Q99260
P35189	P40856
P38260	Q12525
P32911	P34730
P02994	Q04149
P12398	P22470
P40991	P53254
P15646	P25635
P53077	Q12349
P38123	Q03012
P39731	Q02199
P47012	P53171
Q03784	Q04183
P42944	Q07622
P08153	Q12060
P34160	Q07508
P38286	Q12372
P40319	Q06538
P20436	P32529
P12709	P40555
P25358	P40440
P41811	P47079
Q12402	Q99190
P35718	P36121
P35191	P41811
P09440	P38205
P03965	P32457
P40991	Q02892
P29468	P39081
P25298	P38263
P39742	P40975
Q01939	Q04437
P04385	P25342
P27809	P40054
P47041	P53246
P38156	P38428
Q3E829	Q3E835
P22276	P28000
P04385	P36068
P00546	P34161
P08524	P48568
P15303	P29295
P20448	Q12499
P19736	Q02260
P30665	Q08032
P32569	Q99278
P38065	P53550
P32911	P41338
P38085	P38708
Q07732	Q08001
P38820	P40554
P38849	P53870
P36062	Q06551
P38691	P47027
P32368	P49018
P36016	Q99247
P02994	Q08004
P32523	P53277
P02309	P18412
P32569	P53055
P50101	P53197
P37366	Q03290
P38959	Q07508
P39936	Q00539
P02557	P32807
P32366	P46988
Q03654	Q12417
P08566	P47093
P42945	P53254
P49704	Q06217
P33334	P39682
P15992	P31384
P34164	P47079
P38264	P38356
P25385	P53622
P31373	Q03175
P00830	Q04377
P38692	Q06162
P53313	P53927
P45976	Q06632
P00950	P14904
P11746	Q6B184
P19262	P38129
P47094	P53550
P02994	P06838
P40963	Q12495
P25376	P32842
P46961	Q03655
P13434	P17255
P38257	P43603
P07251	P32328
P22137	P38856
P32897	P49334
P40034	P40054
P40362	P42945
P10081	P28274
P54115	Q00684
P06777	Q00416
P07260	P36041
P40070	P40089
P32496	P40016
P00830	P25569
P15938	Q08226
Q12450	Q12691
P04806	P43637
P36022	P53550
P47170	P89105
P07703	P23594
P33298	P38629
P10080	P40055
P40563	Q08004
P32807	P33298
P25389	P39735
P06787	P53167
P19414	P40352
P32939	P37370
P28495	Q06648
P08458	P09734
P40040	P47135
P28004	P32523
P38276	P38987
O94085	P43558
P38147	P49573
P06738	P12753
P53835	Q12445
P22204	P30624
P07283	Q99186
P38634	P52286
P53196	Q01939
P21268	Q01939
P19882	P20081
P49334	P80667
P25515	P32563
P18409	P53083
P38333	Q08096
P23201	P32490
P00358	Q04978
P53300	Q12194
P39083	Q12518
P16140	P53196
P00830	P38629
P53934	Q03703
P20053	P47093
P02994	P53691
P32337	P53094
P27472	P40187
P32618	Q12125
P06838	P32914
P32485	Q03213
P28817	Q03201
P53550	Q12517
P38722	Q08240
P38737	Q08273
P06168	P32797
P25302	Q00772
P38264	Q07376
P47041	P53934
P29055	P32773
P20676	Q03900
P16120	P32911
P00830	P40991
P00812	P02994
Q03322	Q12071
P04050	P29055
P38238	P40857
P00958	P53040
P23641	P32491
P47092	P53934
P40032	P53168
P36006	P41832
P38822	Q12025
P47135	P53733
P08456	P46961
P10659	Q03957
P02994	P32601
P32569	P38328
P43321	P49704
P53285	Q03508
P39935	P53883
P04451	Q06338
P38265	Q12493
P25644	P39517
P39078	P40055
P25635	Q12499
Q06675	Q12147
P00330	P28003
P00546	P24814
P17629	Q12449
Q06408	Q12691
P33338	P53188
P12695	Q00684
P10081	P39729
P36123	P50942
P16862	P20081
P40960	P50277
P16140	P28000
P06843	P17709
P25568	P38264
P17214	P36120
P38080	P40494
P32911	Q00764
P87283	Q12018
P40204	Q00916
P12398	P40352
P09624	P53043
P32873	P50111
P00546	Q05812
P04385	P24814
P35056	Q07418
P08458	P23641
P40475	P53176
P38751	P53973
P32264	P40066
P28791	P41834
P00044	P00431
P18414	P49018
P12398	Q00776
P25558	P47135
Q02783	Q05934
P47079	P53632
P06244	P19882
P38147	P53857
P38333	P53941
P17157	Q07786
P21243	P23638
P04173	P39108
P87282	Q02630
P32570	P47821
P26188	P33202
P31115	Q12136
Q04697	Q12154
P16861	Q08273
P32605	Q00916
P25635	Q06344
P53079	Q06096
P38806	P38811
P09435	P20604
P21243	P38293
P20448	Q01329
P18851	P32381
P06838	P16387
P07251	P36047
P16140	P32491
P35193	P41921
P38316	P40159
Q03940	Q12692
P17629	P19882
P05066	Q08224
P04385	P25453
P49956	Q07878
P42937	Q00916
P11745	P38852
P19657	P36047
P80667	Q04370
P38353	Q12402
P00431	P39925
P34730	P53622
P29295	P32861
P09232	P47017
P22336	P38859
P32432	P38123
P00358	P38622
P06102	P46677
Q12349	Q99216
P21264	P87282
P17629	P25555
P39515	P49334
P08518	P10591
P37838	Q02892
Q02554	Q99181
P52891	Q08270
P38356	P38992
P14741	P22137
P18414	P46965
P23968	P53322
P38153	P40069
Q03406	Q06208
P32447	P40963
P08518	P33298
P35197	Q12016
P36048	P40204
P18480	P21576
P02829	P53043
P40060	Q12345
P32621	P38287
P51601	Q12059
P00924	P07703
P32457	P40073
P53930	Q12692
P11633	Q08773
Q05934	Q12193
P14681	P40850
P43321	Q07508
P10081	P38260
P09064	P32502
Q03667	Q06245
P32628	P54860
P32481	P40089
P15992	P40555
P07270	Q01939
P17709	P53156
P32569	Q08278
P25385	Q04969
P38342	Q00764
P35206	P40886
P00950	P38987
P47135	Q3E7X9
P04397	P22470
P05694	P17157
P36027	P51862
P25371	P38286
P08539	P38268
P38077	P53622
P32465	P47075
P47135	P53842
P32828	Q00916
P12687	P28007
P36160	Q04660
P32639	Q12420
P05453	P12385
P42947	P47135
P06843	Q06010
P32867	P38713
P23180	P38260
P32324	Q04177
P38264	P53048
P28007	P47093
P27514	P38843
P25491	P39108
Q03690	Q04437
P31688	P32366
P17121	Q02260
P07262	P38217
P25297	P46956
P21243	Q12250
P22209	P32527
P00330	P38310
P02829	Q08387
P16387	P38204
P34160	Q08920
P09798	Q04149
P23641	Q00772
P21243	P43588
P35194	Q06506
P36057	Q02574
Q02199	Q02932
P32342	P38985
P06243	Q12018
P32447	Q03691
P38286	Q03655
P32569	P34162
P22804	P32074
P32529	P46669
P40070	Q05543
P28005	P38291
Q03654	Q06410
P00360	Q00776
P35191	P38691
Q08601	Q12329
P11076	P25385
P16474	Q12223
P26188	P36016
P16474	P40960
Q04062	Q06708
P25294	Q04437
P53599	Q07084
P23642	Q12329
P40070	Q04149
P32263	P32502
P00360	P32911
P29055	Q03233
P39743	Q06339
P04821	P38321
P32473	Q05809
P19263	Q07418
Q00776	Q08096
P11075	P43535
P43603	Q12446
P41815	P53045
P36006	P38328
P39011	P50623
P15992	Q00772
P40055	Q06679
Q08224	Q12152
P40054	Q12143
P28263	P32569
P38753	Q08491
P04386	P34162
P25554	P35177
P25635	P53914
P07245	P20081
P09798	Q04601
P00358	P36130
P05030	P39928
P26755	Q08224
P35203	P52286
P34160	Q99177
P23292	P36041
P12709	Q00246
P04397	Q99186
P53859	Q08162
P07253	P47128
P10662	P33759
P11978	P43583
P38316	Q12250
P32787	P40466
P15424	Q06344
P25344	P54999
P38822	P40020
P87271	Q12349
P32048	P32468
P23594	P60010
P22147	P47093
P25646	Q02979
P07260	P12398
P37838	P38779
P25491	P41808
P38316	P43588
P00331	P07703
P32496	Q04437
P47079	Q12379
O13582	P25344
P07260	P40856
P04817	P38843
P36173	P38264
P38842	P43682
P33767	Q12251
P38074	P47093
P05150	P22134
P25293	Q12692
P32324	Q12004
P38822	P40096
P09938	Q12363
P43555	P53394
P37012	P40348
P12709	Q99260
P38729	Q12445
P17629	P53552
P00425	P39547
P25454	P50623
P32794	P47135
P33441	Q02821
P21524	P38719
P32366	Q06813
P36124	P38262
P38853	P47158
P20436	P27999
P22137	P38882
P34078	Q02630
P47096	Q03759
P29469	P54790
Q03818	Q04659
P06774	Q04410
P32366	Q06668
P32767	Q12363
P36108	P40076
Q05031	Q08270
P09435	P19735
P19882	P23595
Q03406	Q12488
P39107	Q06449
P38068	P38153
P07251	P25347
P32786	P40992
P38112	Q08208
P23202	Q12260
P38130	P38822
P32367	Q02629
P37838	P39744
P15790	P40466
P05150	P12753
P38041	Q05080
P47082	P47128
P25453	Q03940
P25655	Q01939
P38146	P53108
P06102	P06169
P38695	Q04697
P32908	Q12306
P40478	Q08986
P32830	P87108
P41811	Q12329
P38264	P38843
P53104	Q06410
P34246	P38236
P28625	P38840
P38326	P53730
P08018	P23561
P25043	P39944
P14681	P25293
Q03557	Q08754
P48232	Q06628
Q03790	Q05166
P38842	Q12450
P33298	Q06103
P06782	P07259
P30665	Q03406
P36103	P38067
P38291	P41812
P37297	P40075
P25491	P47027
P19358	Q12152
P25045	P40970
P38247	Q00582
P05317	P53163
P15992	P43563
P41912	Q06551
P05150	P11978
P07149	Q08273
P47135	P54839
P00924	P32381
P38085	P38819
Q05027	Q12460
P32328	P47079
P38332	Q04411
P15790	P32787
P16661	Q99190
P22214	Q12154
P53549	Q01939
P15315	Q02209
P32476	P42843
P53918	Q02795
P25046	P32585
P18239	Q12152
P32468	P38339
P38633	Q99339
P47079	Q04437
O13517	P40971
P25359	P38822
P06787	P27466
P04397	P38700
P40434	Q00764
P17157	P25694
P16521	Q00362
P11986	P32598
Q04659	Q05934
P23644	P28795
P23639	P30656
P53135	Q06593
Q12125	Q12154
P41815	P46965
P25332	P53112
P13382	P21951
P35691	Q04675
P38745	P41544
P38729	P40319
P00360	P32598
P02557	P32502
P16474	P22336
P00958	Q02821
P30777	P54837
P21560	P25585
P36009	P60010
Q03218	Q12349
Q03148	Q04902
P00950	P33334
P22137	P25453
P38195	Q12260
P36118	Q06411
P14741	P36139
P25655	P39008
Q06451	Q12359
P28495	P40503
P39969	P40583
P04173	P32350
P53975	Q07895
P32829	P38859
P21192	P50101
Q03935	Q06204
P39996	P40260
P16661	P38264
P25358	P38156
P04173	P16862
P38822	Q04835
P47093	P53189
P21373	P32622
P38011	P42846
P25379	P38203
P15891	P53933
P04397	Q00776
P26754	P47171
P20095	P46670
P25657	P40520
P40563	P47135
Q05900	Q06217
P13393	P32569
Q12389	Q12522
P09624	P22204
P12687	P39935
P36160	P53136
P08431	P39108
P53261	Q04660
P53243	Q03690
P32908	P53278
P38822	Q07623
P21672	Q03702
P16474	P41695
P25046	P32259
P06701	P11978
P25293	Q03935
P02309	Q06639
P32366	Q07843
Q06170	Q12417
P13365	P47074
P52891	P52918
Q00776	Q12329
P36161	P52918
P12398	P14741
P40850	Q04149
P38011	P53254
P32585	P39073
P40991	Q12276
P25358	P38967
P22137	P32911
P12398	Q00684
P22216	P34216
P32481	Q05791
P53165	Q04934
Q02199	Q06142
P53235	Q01560
P20081	Q03973
P41543	Q03103
P08458	P15891
Q06667	Q08492
P05754	Q03289
P15992	P40469
P32602	P32854
P40469	Q05583
P00445	P39009
P07991	Saccharomyces cerevisiae
P47093	Q12420
P32803	P53283
P40456	Q12303
P22216	P38960
P39946	P53253
P40561	Q01560
P01123	P40094
P38166	Q06208
P15646	P28007
P40361	Q03788
P48743	Q06639
P02994	P23624
P32350	P46367
P12398	P32601
P02829	P22204
P32602	P36075
P53064	Q99181
P22579	Q02486
P36160	P40084
P38166	P43534
P33333	P40069
P53378	Q04493
P08431	P41808
P32830	P47045
P02994	P27636
P22134	P38697
P09624	P21672
P16474	Q08949
P39952	Q08521
P47045	P53105
P38282	Q00723
P07257	P23748
Q02866	Q99312
P33313	P39676
P08518	P22139
P50095	Q03323
P16370	P41896
P16140	Q12004
P38298	P40548
P36149	Q04183
P16862	P35191
P38085	P40319
P38264	Q06451
P19073	Q99299
P00890	P38987
P05150	P06786
P25628	P37261
P19735	P38891
P41318	P42943
Q03612	Q04177
P40319	P40975
P38274	P53933
P38323	P38987
P38203	P53248
Q02891	Q03860
P25644	P32351
P22204	P36130
P32366	P53883
P02557	P38987
P43601	Q00362
P38842	P40260
P12904	P25694
P47093	Q12517
P21268	P50101
P32366	Q08903
P06784	P23201
P04817	P36057
P10964	P46669
P38351	Q06697
P06842	P53285
P07283	Q06135
P23202	P40466
P07149	Q02574
P25360	P38729
P38298	P43555
P28004	Q02821
P32491	P41940
P32598	P43638
P32497	P38431
P25568	Q03677
P40510	Q12026
P12398	P25694
P28817	P38120
P16861	P20081
P40319	Q04121
P34760	Q12343
P09624	P40352
P38121	Q12306
P25639	P38969
P32602	Q12309
P38823	Q12032
P22517	P38633
P46671	P46984
P14906	P38079
P07703	P35718
P12398	P25644
P22936	Q08729
P32500	Q12134
P25297	P38286
P19882	P39946
P25336	Q03834
P07262	P25569
P23968	P31379
P39979	Q02866
P25635	P53743
P07262	P53622
Q00776	Q06178
P07703	Q12449
P06774	P38779
P32381	P47117
P06105	P19735
P32524	P36166
P07260	P53905
Q06106	Q06449
P38316	P38764
P32497	Q12341
P00950	Q99181
P25579	P52891
Q12495	Q99314
P02309	P16861
P32803	P38968
P09547	P18480
P40541	Q04002
P06778	P07259
P11484	P17157
P28817	Q03246
P00912	Q12349
P38764	P39937
P04397	P32598
P40991	Q04149
P19735	P28241
P11484	Q06679
P25694	Q08273
P39744	Q07623
P19454	Q00245
P25694	Q12531
P39970	P40956
P15891	P32793
P06103	Q12341
P12398	P50942
P42073	Q06102
P21691	P38633
P06243	P12398
P36224	P53834
P00546	Q06412
P33754	P38987
P00830	P30902
P13382	Q01454
P19735	P34730
P04397	Q04149
P07703	P32481
P32590	Q03957
P38723	P47026
P47017	P53550
P38112	P38789
P21951	P24482
P12954	Q12306
P38264	P40440
P11484	P20676
P34223	P36037
P31244	Q04120
P43555	Q12396
Q02821	Q12149
P13517	P25584
P39998	P40077
P53735	Q03455
P38822	P39711
P46961	P53142
P25694	P53044
P32381	P32491
P11075	P40482
P32366	Q06417
P07251	P15873
P40094	P53271
P15891	Q04439
P33298	Q03897
P16140	P38953
P07703	P10964
P38080	P40214
P38931	P43569
P31111	Q06032
P32558	Q12161
P36165	P38778
P37838	Q00776
P10659	P16862
P13134	Q07824
P34244	P53197
Q03330	Q12060
P23493	Q08641
P22147	P32828
P39676	Q04149
P53176	P53322
P04147	P11076
P40517	P60010
P04807	P39743
P32454	P38822
P00890	P17505
P14906	P38842
P37370	Q04439
P20457	P21951
P19414	Q04660
P61864	Q06651
P32836	Q12222
P43579	Q12464
P04173	P53894
P28817	P32902
P39743	Q12168
P38238	P47072
P43561	Q08980
P38156	P38264
Q01329	Q06102
P38150	Q07729
P06839	P25379
P25635	Q07623
P15424	P53861
P25045	P53224
Q06696	Q12483
P38156	Q03263
P10591	P53083
Q00916	Q03532
P36130	P42943
P21827	P41920
P12709	P22336
P53127	P53917
P07703	P46367
P08458	P09232
P05694	P32468
Q06675	Q07362
P38316	P38698
P20676	Q12206
P30822	Q03220
P34730	Q12734
P00830	P06781
P11972	Q06676
P33755	P53044
P38729	P43561
P46963	Q12427
P06787	P36006
P29311	Q07533
